Busname,Bustype,Busroutes,Departing_time,Duration,Reaching_time,Star_rating,Price,Seats_available,buslink
KSRTC (Kerala) - 581,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,10:00,08h 22m,18:22,4.1,469.0,7 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,Bangalore to Kozhikode Bus,12:00,08h 20m,20:20,3.7,627.0,8 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,Bangalore to Kozhikode Bus,14:15,08h 50m,23:05,4.3,627.0,32 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,15:00,10h 00m,01:00,3.9,620.0,29 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 370,AC MULTI AXLE,Bangalore to Kozhikode Bus,15:25,06h 55m,22:20,2.7,729.0,5 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,16:00,08h 45m,00:45,2.4,567.0,14 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,16:15,09h 30m,01:45,4.1,640.0,30 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,16:45,08h 40m,01:25,4.1,640.0,29 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,19:00,09h 30m,04:30,3.9,640.0,26 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),Bangalore to Kozhikode Bus,20:00,07h 45m,03:45,3.7,473.0,38 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,20:40,09h 30m,06:10,3.9,640.0,26 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,21:30,09h 25m,06:55,3.6,640.0,27 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
